TPCH_QUERY2_TOP9_FROM10, FD, Precision=0.2999999999999997, Recall=1.0
TPCH_QUERY2_TOP9_FROM10, FDP_Plus, Precision=0.20000000000000015, Recall=1.0
,,,
TPCH_QUERY2_TOP10_FROM10, Intersection, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP10_FROM10, Union, Precision=0.0, Recall=0.0
TPCH_QUERY2_TOP10_FROM10, FD, Precision=0.2999999999999997, Recall=1.0
TPCH_QUERY2_TOP10_FROM10, FDP_Plus, Precision=0.19999999999999982, Recall=1.0
,,,
TPCH_QUERY4_TOP2_FROM10, Intersection, Precision=1.0, Recall=0.6666666666666664
TPCH_QUERY4_TOP2_FROM10, Union, Precision=1.0, Recall=0.6666666666666664
TPCH_QUERY4_TOP2_FROM10, FD, Precision=1.0, Recall=0.6666666666666664
TPCH_QUERY4_TOP2_FROM10, FDP_Plus, Precision=1.0, Recall=0.6666666666666664
,,,
TPCH_QUERY4_TOP3_FROM10, Intersection, Precision=1.0, Recall=0.6666666666666664
TPCH_QUERY4_TOP3_FROM10, Union, Precision=1.0, Recall=0.6666666666666664
TPCH_QUERY4_TOP3_FROM10, FD, Precision=1.0, Recall=0.6666666666666664
TPCH_QUERY4_TOP3_FROM10, FDP_Plus, Precision=1.0, Recall=0.6666666666666664
,,,
TPCH_QUERY4_TOP4_FROM10, Intersection, Precision=1.0, Recall=0.6666666666666664
TPCH_QUERY4_TOP4_FROM10, Union, Precision=1.0, Recall=0.6666666666666664
TPCH_QUERY4_TOP4_FROM10, FD, Precision=1.0, Recall=0.6666666666666664
TPCH_QUERY4_TOP4_FROM10, FDP_Plus, Precision=1.0, Recall=0.6666666666666664
,,,
TPCH_QUERY4_TOP5_FROM10, Intersection, Precision=1.0, Recall=0.6666666666666664
TPCH_QUERY4_TOP5_FROM10, Union, Precision=1.0, Recall=0.6666666666666664
TPCH_QUERY4_TOP5_FROM10, FD, Precision=1.0, Recall=0.6666666666666664
